name,gender,award|Mason Durie Medal|0,award|Callaghan Medal|1,award|Humanities Aronui Medal|2,award|MacDiarmid Medal|3,award|Jones Medal|4,award|Dame Joan Metge Medal|5,award|Pou Aronui Award|6,award|Pickering Medal|7,award|Hatherton Award|8,award|R. J. Scott Medal|9,award|Sir Charles Hercus Medal|10,award|Te Rangi Hiroa Medal|11,award|Rutherford Medal|12,award|Charles Fleming Award|13,award|Thompson Medal|14,award|Leonard Cockayne Memorial Lecture|15,award|T. K. Sidey Medal|16,award|Hamilton Memorial Prize|17,award|Hector Medal|18,award|Hutton Medal|19
Ralph Anthony Bungard,M,,,,,,,,,,,,,,,,,,2001,,
John Charles Butcher,M,,,,,2010,,,,,,,,,,,,,,1996,
Vaughan Jones,M,,,,,,,,,,,,,1991,,,,,,,
Joanne Davidson,F,,,,,,,,,,,,,,,,,,2014,,
Robert Francis Ross McNabb,M,,,,,,,,,,,,,,,,,,1966,,
Harry Bloom,M,,,,,,,,,,,,,,,,,,,1961,
Charmian Jocelyn O'Connor,F,,,,,,,,,,,,,,,,,,1969,,
Leon Francis Phillips,M,,,,,,,,,,,,,,,,,,,1979,
John Henderson,M,,,,,,,,,,,,,,,,,,,1945,
Alan MacDiarmid,M,,,,,,,,,,,,,2000,,,,,,,
Keith Petrie,M,2015,,,,,,,,,,,,,,,,,,,
Edward Edinborough Chamberlain,M,,,,,,,,,,,,,,,,,,,1960,
Wooi Chee (Valerie) Soo,F,,,,,,,,,,,,,,,,,,2015,,
Dave Kelly,M,,,,,,,,,,,,,,,,,,,,2013
George Arthur Frederick Seber,M,,,,,,,,,,,,,,,,,,,1999,
Elizabeth Joan Batham,F,,,,,,,,,,,,,,,,,,1947,,
Roderick Leon Bieleski,M,,,,,,,,,,,,,,,,,,,1984,
Richard Faull,M,,,,,,,,,,,,,2007,,,,,,,
Christine Margaret Morris,F,,,,,,,,,,,,,,,,,,1988,,
Mark Vickers,M,,,,,,,,,,,,,,,,,,2006,,
Donald Bannerman Macleod,M,,,,,,,,,,,,,,,,,,,1940,
Roy Patrick Kerr,M,,,,,,,,,,,,,1993,,,,,,1982,
Dmitri Scherbarchov,M,,,,,,,,,2012,,,,,,,,,,,
Trevor Hatherton,M,,,,,,,,,,,,,,,,,,,1981,
Richard Patrick Suggate,M,,,,,,,,,,,,,,,,,,,,1983
Ross Andrew Edwards,M,,,,,,,,,1999,,,,,,,,,,,
David Ryan,M,,,,,,,,2011,,,,,,,,,,,,
Warren Tate,M,,,,,,,,,,,,,2010,,,,,,,
Angus Tait,M,,,,,,,,,,,,,,,1989,,,,,
Albert James Ellis,M,,,,,,,,,,,,,,,,,,,1987,
Jeffrey Lewis Tallon,M,,,,,,,,,,,,,2002,,,,,,1998,
David Christopher Graham Skegg,M,,,,,,,,,,,1999,,,,,,,,,
Norman Jack Rumsey,M,,,,,,,,,,,,,,,,,1973,,,
John Thorpe Holloway,M,,,,,,,,,,,,,,,,1968,,,1966,
Paul Phillip Gardner,M,,,,,,,,,2004,,,,,,,,,,,
Kevin F. O'Connor,M,,,,,,,,,,,,,,,,1989,,,,
DSIR group award,G,,,,,,,,,,,,,1992,,,,,,,
Lindsay Heathcote Briggs,M,,,,,,,,,,,,,,,,,,,1943,
Elsdon Best,M,,,,,,,,,,,,,,,,,,,1914,
Roger Shepherd Duff,M,,,,,,,,,,,,,,,,,,,1956,
Grant Caldwell,M,,,,,,,,,,,,,,,,,2010,,,
Brian Boyd,M,,,2014,,,,,,,,,,,,,,,,,
Paul Harris,M,,,,,,,,,,2009,,,,,,,,,,
Philip Wilfred Robertson,M,,,,,,,,,,,,,,,,,,,1919,
Janet Holmes,F,,,,,,2012,,,,,,,,,,,,,,
Harold John Finlay,M,,,,,,,,,,,,,,,,,,1926,1941,
Michael A. Steel,M,,,,,,,,,,,,,,,,,,1994,,
Charles Higham,M,2014,,,,,,,,,,,,,,,,,,,
Robert Speight,M,,,,,,,,,,,,,,,,,,,1921,
Rufus Michael Grant Wells,M,,,,,,,,,,,,,,,,,,,,1989
Jason Busby,M,,,,,,,,,2016,,,,,,,,,,,
Alistair Gunn,M,,,,2014,,,,,,,2010,,,,,,,,,
Paul Terence Callaghan,M,,,,,,,,,,,,,2005,,,,,,1998,
Stephenson Percy Smith,M,,,,,,,,,,,,,,,,,,,1920,
Colin J. Maiden,M,,,,,,,,,,,,,,,1986,,,,,
Clinter Coleridge Farr,M,,,,,,,,,,,,,,,,,,,1922,
Andreas Herman,M,,,,,,,,,2009,,,,,,,,,,,
Michelle Dickinson,F,,2015,,,,,,,,,,,,,,,,,,
Alan Henry Kirton,M,,,,,,,,,,,,,,,,,,,,1998
Wendy Nelson,F,,,,,,,,,,,,,,,,,,,,2016
Keith Edward Bullen,M,,,,,,,,,,,,,,,,,,,1952,
David Penny,M,,,,,,,,,,,,,2004,,,,,,,
Patrick Marshall,M,,,,,,,,,,,,,,,,,,,1915,1917
Ernest Rutherford,M,,,,,,,,,,,,,,,,,1933,,1916,
Roger John Reeves,M,,,,,,,,,,,,,,,,,2007,,,
